Date,Close,Open,High,Low,Change
12/16/2021,3956.62,4019.57,4108.24,3955.46,decrease
12/15/2021,4019.24,3860.51,4090.15,3649.69,increase
12/14/2021,3861.55,3782.12,3879.43,3690.06,increase
12/13/2021,3781.94,4131.47,4141.27,3673.19,decrease
12/12/2021,4131.78,4078.17,4173.21,3988.29,increase
12/11/2021,4075.66,3903.52,4094.92,3836.92,increase
12/10/2021,3903.48,4107.2,4226.79,3894.03,decrease
12/9/2021,4107.69,4435.74,4482.89,4078.14,decrease
12/8/2021,4435.74,4307.08,4449.69,4229.63,increase
12/7/2021,4307.08,4351.36,4424.2,4259.45,decrease
12/6/2021,4353.31,4194.95,4373.23,3922.65,increase
12/5/2021,4194.8,4118.27,4247.38,4036,increase
12/4/2021,4123.46,4219.3,4237.56,3533.02,decrease
12/3/2021,4219.3,4512.9,4646.73,4047.07,decrease
12/2/2021,4512.9,4583.28,4629.75,4437.53,decrease
12/1/2021,4583.28,4628.72,4778.14,4525.33,decrease
11/30/2021,4628.9,4443.22,4749.12,4349.21,increase
11/29/2021,4443.22,4296.98,4456.82,4280.18,increase
11/28/2021,4296.98,4095.16,4297.63,3980.24,increase
11/27/2021,4094.8,4037.06,4183.02,4029.06,increase
11/26/2021,4034.53,4520.3,4548.1,3917.43,decrease
11/25/2021,4520.3,4270.73,4549.74,4248.9,increase
11/24/2021,4273.54,4340.23,4372.83,4172.19,decrease
11/23/2021,4340.23,4086.73,4384.75,4064.17,increase
11/22/2021,4086.95,4268.07,4311.46,4026.75,decrease
11/21/2021,4268.08,4409.02,4422.6,4246.2,decrease
11/20/2021,4408.85,4295.27,4434.27,4206.75,increase
11/19/2021,4295.43,3996.29,4305.41,3978.08,increase
11/18/2021,4001.87,4290.31,4342.74,3958.44,decrease
11/17/2021,4290.88,4208.29,4298.3,4071.01,increase
11/16/2021,4208.16,4562.97,4562.97,4115.31,decrease
11/15/2021,4562.98,4625.71,4769.38,4543.47,decrease
11/14/2021,4625.59,4644.4,4692.76,4514.95,decrease
11/13/2021,4644.61,4665.76,4705.02,4585.37,decrease
11/12/2021,4667.31,4720.5,4807.16,4511.96,decrease
11/11/2021,4720.87,4633.98,4778.17,4578.66,increase
11/10/2021,4634.03,4731.83,4864.06,4498.78,decrease
11/9/2021,4731.83,4808.34,4836.69,4715.43,decrease
11/8/2021,4808.38,4612.05,4822.97,4612.05,increase
11/7/2021,4612.06,4517.27,4634.39,4502.7,increase
11/6/2021,4517.36,4475,4526.75,4330.29,increase
11/5/2021,4475,4534.96,4569.31,4439.67,decrease
11/4/2021,4535.11,4601.93,4604.83,4421.87,decrease
11/3/2021,4602.21,4586.96,4661.88,4458.87,increase
11/2/2021,4586.06,4320.85,4598.38,4287.36,increase
11/1/2021,4320.85,4287.41,4376.94,4157.51,increase
10/31/2021,4287.56,4322,4393.61,4169.48,decrease
10/30/2021,4320.65,4413.7,4428.41,4250.24,decrease
10/29/2021,4413.7,4284.9,4458.3,4268.21,increase
10/28/2021,4284.9,3921.54,4289.8,3896.33,increase
10/27/2021,3921.93,4130.06,4299.61,3914.06,decrease
10/26/2021,4129.51,4219.92,4291.98,4098.19,decrease
10/25/2021,4219.92,4082.68,4234.76,4069.94,increase
10/24/2021,4082.8,4168.8,4184,3965.84,decrease
10/23/2021,4168.85,3970.94,4169.33,3938.79,increase
10/22/2021,3970.94,4053.89,4164.11,3896.4,decrease
